     0.00000000E+00   1.00010001E+00  -7.99115683E-15  -9.69489892E-16   5.19057868E-15
     1.00000000E+00   9.39684426E-01   2.82166773E-02   1.76952803E-02   1.18350063E-02
     2.00000000E+00   8.82918512E-01   5.38191386E-02   3.41214857E-02   2.28392690E-02
     3.00000000E+00   8.29581791E-01   7.69946049E-02   4.93574967E-02   3.30640725E-02
     4.00000000E+00   7.79467103E-01   9.79180327E-02   6.34773868E-02   4.25575801E-02
     5.00000000E+00   7.32379801E-01   1.16752884E-01   7.65507090E-02   5.13650198E-02
     6.00000000E+00   6.88136994E-01   1.33651844E-01   8.86427624E-02   5.95288570E-02
     7.00000000E+00   6.46566840E-01   1.48757500E-01   9.98148427E-02   6.70889563E-02
     8.00000000E+00   6.07507870E-01   1.62202972E-01   1.10124475E-01   7.40827321E-02
     9.00000000E+00   5.70808371E-01   1.74112506E-01   1.19625630E-01   8.05452887E-02
     1.00000000E+01   5.36325788E-01   1.84602027E-01   1.28368927E-01   8.65095502E-02
     1.10000000E+01   5.03926172E-01   1.93779660E-01   1.36401822E-01   9.20063814E-02
     1.20000000E+01   4.73483659E-01   2.01746215E-01   1.43768775E-01   9.70646981E-02
     1.30000000E+01   4.44879981E-01   2.08595637E-01   1.50511415E-01   1.01711570E-01
     1.40000000E+01   4.18004005E-01   2.14415436E-01   1.56668685E-01   1.05972312E-01
     1.50000000E+01   3.92751301E-01   2.19287074E-01   1.62276973E-01   1.09870572E-01
     1.60000000E+01   3.69023732E-01   2.23286341E-01   1.67370235E-01   1.13428405E-01
     1.70000000E+01   3.46729074E-01   2.26483692E-01   1.71980104E-01   1.16666346E-01
     1.80000000E+01   3.25780657E-01   2.28944571E-01   1.76135991E-01   1.19603467E-01
     1.90000000E+01   3.06097025E-01   2.30729706E-01   1.79865173E-01   1.22257437E-01
     2.00000000E+01   2.87601620E-01   2.31895387E-01   1.83192871E-01   1.24644568E-01
     2.10000000E+01   2.70222478E-01   2.32493724E-01   1.86142324E-01   1.26779860E-01
     2.20000000E+01   2.53891957E-01   2.32572888E-01   1.88734850E-01   1.28677037E-01
     2.30000000E+01   2.38546463E-01   2.32177334E-01   1.90989906E-01   1.30348586E-01
     2.40000000E+01   2.24126211E-01   2.31348012E-01   1.92925141E-01   1.31805786E-01
     2.50000000E+01   2.10574986E-01   2.30122564E-01   1.94556442E-01   1.33058736E-01
     2.60000000E+01   1.97839924E-01   2.28535509E-01   1.95897988E-01   1.34116385E-01
     2.70000000E+01   1.85871312E-01   2.26618424E-01   1.96962292E-01   1.34986562E-01
     2.80000000E+01   1.74622392E-01   2.24400106E-01   1.97760258E-01   1.35676008E-01
     2.90000000E+01   1.64049182E-01   2.21906741E-01   1.98301229E-01   1.36190404E-01
     3.00000000E+01   1.54110307E-01   2.19162061E-01   1.98593054E-01   1.36534421E-01
     3.10000000E+01   1.44766842E-01   2.16187499E-01   1.98642155E-01   1.36711754E-01
     3.20000000E+01   1.35982168E-01   2.13002344E-01   1.98453605E-01   1.36725184E-01
     3.30000000E+01   1.27721831E-01   2.09623896E-01   1.98031223E-01   1.36576634E-01
     3.40000000E+01   1.19953418E-01   2.06067625E-01   1.97377679E-01   1.36267246E-01
     3.50000000E+01   1.12646439E-01   2.02347327E-01   1.96494613E-01   1.35797461E-01
     3.60000000E+01   1.05772217E-01   1.98475288E-01   1.95382772E-01   1.35167115E-01
     3.70000000E+01   9.93037889E-02   1.94462446E-01   1.94042163E-01   1.34375544E-01
     3.80000000E+01   9.32158094E-02   1.90318567E-01   1.92472221E-01   1.33421705E-01
     3.90000000E+01   8.74844672E-02   1.86052410E-01   1.90671991E-01   1.32304303E-01
     4.00000000E+01   8.20874048E-02   1.81671905E-01   1.88640327E-01   1.31021934E-01
     4.10000000E+01   7.70036446E-02   1.77184331E-01   1.86376098E-01   1.29573226E-01
     4.20000000E+01   7.22135216E-02   1.72596487E-01   1.83878406E-01   1.27957001E-01
     4.30000000E+01   6.76986196E-02   1.67914867E-01   1.81146806E-01   1.26172425E-01
     4.40000000E+01   6.34417127E-02   1.63145831E-01   1.78181527E-01   1.24219174E-01
     4.50000000E+01   5.94267095E-02   1.58295763E-01   1.74983693E-01   1.22097585E-01
     4.60000000E+01   5.56386012E-02   1.53371221E-01   1.71555528E-01   1.19808805E-01
     4.70000000E+01   5.20634108E-02   1.48379083E-01   1.67900552E-01   1.17354936E-01
     4.80000000E+01   4.86881454E-02   1.43326660E-01   1.64023756E-01   1.14739153E-01
     4.90000000E+01   4.55007489E-02   1.38221806E-01   1.59931750E-01   1.11965820E-01
     5.00000000E+01   4.24900550E-02   1.33073000E-01   1.55632883E-01   1.09040569E-01
