     0.00000000E+00   1.00010001E+00   0.00000000E+00  -2.86441052E-15  -3.36521350E-14   1.00259455E-14  -1.08616829E-14
     1.00000000E+00   9.54701522E-01   2.52156214E-02   1.72744942E-02   1.85035088E-03   5.87105470E-05   3.96971461E-05
     2.00000000E+00   9.11172631E-01   4.84089756E-02   3.33773759E-02   4.40396619E-03   1.46961131E-04   9.93892945E-05
     3.00000000E+00   8.69364096E-01   6.96297035E-02   4.83141153E-02   7.55008377E-03   2.67474906E-04   1.80949812E-04
     4.00000000E+00   8.29120118E-01   8.89114378E-02   6.20788557E-02   1.11755058E-02   4.21153939E-04   2.85025646E-04
     5.00000000E+00   7.90278751E-01   1.06272301E-01   7.46546539E-02   1.51642359E-02   6.07084423E-04   4.11035561E-04
     6.00000000E+00   7.52673266E-01   1.21716204E-01   8.60143718E-02   1.93975749E-02   8.22583754E-04   5.57197304E-04
     7.00000000E+00   7.16134589E-01   1.35235080E-01   9.61223307E-02   2.37547650E-02   1.06330094E-03   7.20591638E-04
     8.00000000E+00   6.80494877E-01   1.46812136E-01   1.04936795E-01   2.81142412E-02   1.32337935E-03   8.97269475E-04
     9.00000000E+00   6.45592191E-01   1.56426111E-01   1.12413284E-01   3.23555087E-02   1.59568679E-03   1.08240562E-03
     1.00000000E+01   6.11276100E-01   1.64056430E-01   1.18508639E-01   3.63616099E-02   1.87211263E-03   1.27049906E-03
     1.10000000E+01   5.77413928E-01   1.69689055E-01   1.23185664E-01   4.00220852E-02   2.14392563E-03   1.45561538E-03
     1.20000000E+01   5.43897230E-01   1.73322682E-01   1.26418101E-01   4.32362709E-02   2.40217924E-03   1.63166251E-03
     1.30000000E+01   5.10648002E-01   1.74974902E-01   1.28195596E-01   4.59167209E-02   2.63814530E-03   1.79268657E-03
     1.40000000E+01   4.77624044E-01   1.74687815E-01   1.28528282E-01   4.79925003E-02   2.84375167E-03   1.93317120E-03
     1.50000000E+01   4.44822928E-01   1.72532631E-01   1.27450574E-01   4.94120764E-02   3.01199632E-03   2.04832139E-03
     1.60000000E+01   4.12284044E-01   1.68612776E-01   1.25023809E-01   5.01455403E-02   3.13730958E-03   2.13431242E-03
     1.70000000E+01   3.80088350E-01   1.63065134E-01   1.21337405E-01   5.01859261E-02   3.21583819E-03   2.18848586E-03
     1.80000000E+01   3.48355595E-01   1.56059165E-01   1.16508345E-01   4.95494541E-02   3.24562981E-03   2.20947766E-03
     1.90000000E+01   3.17239026E-01   1.47793841E-01   1.10678899E-01   4.82746076E-02   3.22670377E-03   2.19726863E-03
     2.00000000E+01   2.86917794E-01   1.38492485E-01   1.04012667E-01   4.64200506E-02   3.16100267E-03   2.15315344E-03
     2.10000000E+01   2.57587510E-01   1.28395835E-01   9.66891611E-02   4.40614912E-02   3.05222957E-03   2.07963119E-03
     2.20000000E+01   2.29449588E-01   1.17753773E-01   8.88972921E-02   4.12876908E-02   2.90558455E-03   1.98022689E-03
     2.30000000E+01   2.02700113E-01   1.06816320E-01   8.08282112E-02   3.81958892E-02   2.72742280E-03   1.85925897E-03
     2.40000000E+01   1.77519063E-01   9.58245458E-02   7.26680292E-02   3.48869669E-02   2.52486218E-03   1.72157184E-03
     2.50000000E+01   1.54060647E-01   8.50020292E-02   6.45909258E-02   3.14606795E-02   2.30537119E-03   1.57225460E-03
