     0.00000000E+00   1.00010001E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00
     1.00000000E+00   9.53354219E-01   3.22996231E-02   2.17731564E-04   8.63137445E-04   2.41006589E-05
     2.00000000E+00   9.07709628E-01   6.13671182E-02   5.08306731E-04   2.01413924E-03   5.90713547E-05
     3.00000000E+00   8.62806818E-01   8.71123631E-02   8.47564158E-04   3.35665731E-03   1.04002994E-04
     4.00000000E+00   8.18278963E-01   1.09422055E-01   1.21114348E-03   4.79396369E-03   1.56696300E-04
     5.00000000E+00   7.73772458E-01   1.28174774E-01   1.57526531E-03   6.23197109E-03   2.13966658E-04
     6.00000000E+00   7.28972215E-01   1.43259947E-01   1.91768803E-03   7.58293896E-03   2.72018226E-04
     7.00000000E+00   6.83629525E-01   1.54599358E-01   2.21875101E-03   8.76951228E-03   3.26858745E-04
     8.00000000E+00   6.37589521E-01   1.62169198E-01   2.46238573E-03   9.72863187E-03   3.74716557E-04
     9.00000000E+00   5.90814753E-01   1.66020189E-01   2.63696472E-03   1.04148093E-02   4.12416764E-04
     1.00000000E+01   5.43401308E-01   1.66293183E-01   2.73586698E-03   1.08022942E-02   4.37675786E-04
     1.10000000E+01   4.95584432E-01   1.63227861E-01   2.75766852E-03   1.08857781E-02   4.49282949E-04
     1.20000000E+01   4.47731666E-01   1.57162836E-01   2.70591428E-03   1.06794662E-02   4.47152716E-04
     1.30000000E+01   4.00323050E-01   1.48526441E-01   2.58848432E-03   1.02145661E-02   4.32249103E-04
     1.40000000E+01   3.53919629E-01   1.37818639E-01   2.41662365E-03   9.53546755E-03   4.06401366E-04
     1.50000000E+01   3.09123191E-01   1.25585708E-01   2.20374984E-03   8.69505575E-03   3.72043847E-04
     1.60000000E+01   2.66531407E-01   1.12390279E-01   1.96417886E-03   7.74971047E-03   3.31920589E-04
     1.70000000E+01   2.26693247E-01   9.87799592E-02   1.71191239E-03   6.75454812E-03   2.88795919E-04
     1.80000000E+01   1.90069490E-01   8.52578602E-02   1.45961068E-03   5.75939298E-03   2.45206099E-04
     1.90000000E+01   1.57002406E-01   7.22580402E-02   1.21783838E-03   4.80581944E-03   2.03276332E-04
     2.00000000E+01   1.27697333E-01   6.01280617E-02   9.94625355E-04   3.92542946E-03   1.64614237E-04
     2.10000000E+01   1.02217261E-01   4.91198643E-02   7.95338513E-04   3.13934995E-03   1.30278257E-04
     2.20000000E+01   8.04898265E-02   3.93890272E-02   6.22822082E-04   2.45878368E-03   1.00809336E-04
     2.30000000E+01   6.23246904E-02   3.10014945E-02   4.77738170E-04   1.88634676E-03   7.63079750E-05
